program,vendor_uei,vendor_name,work_type,biw_dollars_fy22_25_$M,biw_n_awards_fy22_25,biw_first_award,ingalls_dollars_fy22_25_$M,ingalls_n_awards_fy22_25,ingalls_first_award,virginia_dollars_fy22_25_$M,virginia_n_awards_fy22_25,virginia_first_award,columbia_dollars_fy22_25_$M,columbia_n_awards_fy22_25,columbia_first_award,cut_profile
ddg,JRZ1WHXAKBM3,GENERAL ELECTRIC COMPANY,machining,0.185,2,2021-11-02,332.711,26,2022-04-29,,,,,,,both
ddg,SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",hvac,24.983,4,2017-04-28,153.046,41,2022-03-11,,,,,,,both
ddg,FZPYZ11SFNA6,TIMKEN GEARS & SERVICES INC.,machining,0.0,0,,169.046,5,2024-02-20,,,,,,,HII-Ingalls-only
ddg,W8PTMRME1496,LEONARDO SPA,electrical,1.699,17,2019-02-11,68.445,87,2013-07-11,,,,,,,both
ddg,F32RBQ3CHAG9,ROLLS-ROYCE HOLDINGS PLC,machining,1.681,11,2023-06-05,52.734,4,2025-08-25,,,,,,,both
ddg,ZW3UMG9YVNA9,"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC.",electrical,0.0,0,,40.637,15,2024-02-19,,,,,,,HII-Ingalls-only
ddg,HLE1E2KALJA5,"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC",electrical,0.077,1,2023-12-08,29.851,23,2024-03-07,,,,,,,both
ddg,SVXNHLLWX953,ELLWOOD NATIONAL FORGE COMPANY,castings,0.0,0,,28.866,7,2024-03-06,,,,,,,HII-Ingalls-only
ddg,YYVHWZMPP3F8,DRS NAVAL POWER SYSTEMS INC,electrical,2.665,8,2022-03-04,25.508,26,2022-12-08,,,,,,,both
ddg,EZN9VQG18FN1,"LAKE SHORE SYSTEMS, INC.",structural,1.461,9,2023-10-31,26.412,60,2024-04-26,,,,,,,both
ddg,Z89SS59265U9,ESPEY MFG. & ELECTRONICS CORP.,electrical,3.383,1,2024-12-20,20.673,34,2016-11-30,,,,,,,both
ddg,FPCZK4D8LXU5,HOWDEN NORTH AMERICA INC,hvac,0.0,0,,18.908,22,2024-07-03,,,,,,,HII-Ingalls-only
ddg,SSD8KRDXKG46,"THE HILLER COMPANIES, LLC",piping,0.039,1,2022-06-29,18.09,22,2023-07-28,,,,,,,both
ddg,W138B61KN3Q7,PARKER-HANNIFIN CORPORATION,piping,0.0,0,,17.763,15,2013-06-27,,,,,,,HII-Ingalls-only
ddg,GU5YDKH7GPF1,"LESLIE CONTROLS, INC.",piping,0.0,0,,17.325,32,2024-03-04,,,,,,,HII-Ingalls-only
ddg,QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,structural,0.0,0,,16.121,11,2024-11-05,,,,,,,HII-Ingalls-only
ddg,QNF5KM7YJSN7,"SOUTHCOAST WELDING & MANUFACTURING, LLC.",structural,0.638,3,2018-04-27,15.357,50,2015-08-12,,,,,,,both
ddg,FCK2D4PSV1L2,DOVER PUMPS & PROCESS SOLUTIONS SEGMENT INC,piping,0.0,0,,15.328,26,2023-11-29,,,,,,,HII-Ingalls-only
ddg,V1MQFNQB56Z5,RIX INDUSTRIES,piping,2.232,2,2022-12-20,12.465,10,2013-06-28,,,,,,,both
ddg,SNP5XVVL5896,ELLWOOD NATIONAL FORGE COMPANY,castings,0.0,0,,14.221,2,2023-11-01,,,,,,,HII-Ingalls-only
ddg,J645RTMFWMW1,"MAXIM EVAPORATORS OF AMERICA, LLC",piping,0.0,0,,14.179,10,2016-11-30,,,,,,,HII-Ingalls-only
ddg,JRUCKDSNXKD5,THE ENTWISTLE COMPANY LLC,piping,0.979,4,2022-07-20,12.576,23,2022-10-03,,,,,,,both
ddg,M4ELQDG7JLM5,AIR & LIQUID SYSTEMS CORPORATION,piping,0.0,0,,13.479,10,2020-09-09,,,,,,,HII-Ingalls-only
ddg,MKXMUFJJYLY5,WARD LEONARD CT LLC,electrical,0.0,0,,12.797,12,2024-08-30,,,,,,,HII-Ingalls-only
ddg,CKNVB8P26F26,ALFA LAVAL INC,structural,0.0,0,,12.577,7,2024-03-28,,,,,,,HII-Ingalls-only
ddg,H4ZMPGLLZ8D9,ARTCRAFT FABRICATORS INC,machining,11.575,2,2023-01-13,0.0,0,,,,,,,,GD-BIW-only
ddg,Q35JL9GFCAK3,"MAROTTA CONTROLS, INC.",piping,1.73,6,2021-12-08,9.006,62,2013-04-11,,,,,,,both
ddg,VBRHLB2HLEM4,PEERLESS MFG CO,structural,0.0,0,,10.219,12,2023-05-02,,,,,,,HII-Ingalls-only
ddg,YELYMYLF82L9,"LAKE SHORE SYSTEMS, INC.",structural,7.437,15,2019-12-16,2.192,10,2017-09-06,,,,,,,both
ddg,E57FS3E4CQ19,ENGINEERED COIL COMPANY,hvac,0.764,5,2023-06-01,7.988,8,2023-02-01,,,,,,,both
ddg,EVZMB1757DW5,"STEELFAB, INC.",structural,0.0,0,,8.703,1,2022-05-16,,,,,,,HII-Ingalls-only
ddg,HWLGUR28KMS6,APPLETON MARINE INC,piping,0.0,0,,8.454,8,2024-05-30,,,,,,,HII-Ingalls-only
ddg,HPDLRXR4FYX5,BAE SYSTEMS PLC,structural,0.0,0,,8.265,1,2025-03-25,,,,,,,HII-Ingalls-only
ddg,FGNQE3RF1FK5,"MORPAC INDUSTRIES, INC.",piping,0.366,2,2022-11-18,7.827,11,2013-06-28,,,,,,,both
ddg,JCBMC726D155,BOGUE SYSTEMS INC,electrical,1.157,1,2022-11-15,6.122,23,2022-08-11,,,,,,,both
ddg,SKKACASET588,DYNALEC CORPORATION,electrical,0.324,1,2022-05-23,6.946,67,2013-04-12,,,,,,,both
ddg,QNEXJLA47BM4,"JAMESTOWN METAL MARINE SALES, INC.",structural,0.0,0,,7.229,21,2015-02-03,,,,,,,HII-Ingalls-only
ddg,DQ35GXAUTW61,INDUSTRIAL CORROSION CONTROL INC,coatings,0.0,0,,6.431,17,2015-08-24,,,,,,,HII-Ingalls-only
ddg,KLDTZDR12ZB7,JUNIPER ELBOW CO. INC.,structural,0.0,0,,6.083,29,2013-07-23,,,,,,,HII-Ingalls-only
ddg,MC77SUMRLXY5,"MILWAUKEE VALVE COMPANY, INC.",piping,0.0,0,,5.75,45,2013-06-28,,,,,,,HII-Ingalls-only
ddg,XJTAAHL58NB6,"EASTERN SHIPBUILDING GROUP, INC.",structural,0.0,0,,5.65,3,2025-03-07,,,,,,,HII-Ingalls-only
ddg,KZA5CX3J8KE8,"IMIA, LLC",structural,0.0,0,,5.475,20,2024-05-27,,,,,,,HII-Ingalls-only
ddg,U45EH8WMNF55,"CIRCOR INTERNATIONAL, INC.",piping,0.791,3,2021-01-28,4.647,27,2013-10-08,,,,,,,both
ddg,LGL1LNBH8KM5,"GRISWOLD INDUSTRIES, CO.",piping,0.065,1,2023-06-26,5.259,46,2013-04-05,,,,,,,both
ddg,TSCZLHCGNQ53,FACET (OKLAHOMA) LLC,piping,0.0,0,,5.138,10,2023-09-30,,,,,,,HII-Ingalls-only
ddg,JJMSRWKWWQ87,NIBCO INC.,piping,0.0,0,,5.084,16,2020-02-06,,,,,,,HII-Ingalls-only
ddg,LR2HQKYJLDZ7,ESI ACQUISITION CORP.,unbucketed,0.547,2,2018-08-23,4.53,26,2013-04-08,,,,,,,both
ddg,PM2FDF7CCNC2,"MARISCO, LTD.",machining,0.042,1,2022-07-21,4.988,5,2013-07-05,,,,,,,both
ddg,CJCQB4PYB943,RELIANCE STEEL & ALUMINUM CO.,structural,0.0,0,,4.923,1,2021-11-01,,,,,,,HII-Ingalls-only
ddg,KN4DLHTLNCS8,"J.F. LEHMAN & COMPANY, INC.",structural,0.131,2,2022-03-16,4.63,15,2013-06-05,,,,,,,both
ddg,D2J1SSHB5EB7,THE HELLAN STRAINER CO,structural,0.0,0,,4.501,10,2023-04-17,,,,,,,HII-Ingalls-only
ddg,PJRYS7EFXQD9,"B.N.L. INDUSTRIES, INC.",piping,0.72,4,2022-03-25,3.18,30,2014-01-22,,,,,,,both
ddg,D3QEMKB2X4N5,LEXAIR INC,piping,0.0,0,,3.843,2,2023-09-15,,,,,,,HII-Ingalls-only
ddg,XEQ3L57D2J24,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,hvac,0.0,0,2021-01-07,3.766,5,2013-07-25,,,,,,,HII-Ingalls-only
ddg,ZA1KMNAJMVT3,SURFACE TECHNOLOGIES CORPORATION,structural,0.0,0,,3.731,13,2015-06-18,,,,,,,HII-Ingalls-only
ddg,JU2ME5ZK8VL3,"MMC METROLOGY LAB, INC",unbucketed,0.0,0,,3.607,22,2013-05-14,,,,,,,HII-Ingalls-only
ddg,F1RLRDZK2KC9,HOWDEN NORTH AMERICA INC.,hvac,0.0,0,,3.55,9,2022-07-19,,,,,,,HII-Ingalls-only
ddg,LGVPVLMRHH51,"W. & O. SUPPLY, INC.",piping,0.0,0,,3.541,18,2023-01-27,,,,,,,HII-Ingalls-only
ddg,EV4ZGUNNKMJ6,"PACIFIC SHIP REPAIR & FABRICATION, INC.",structural,0.0,0,,3.539,16,2013-08-26,,,,,,,HII-Ingalls-only
ddg,L2EDH4DX27J5,"WILLIAM E WILLIAMS, VALVE CORP",piping,0.0,0,,3.536,25,2014-05-16,,,,,,,HII-Ingalls-only
ddg,JBMKQ8ZH6FN9,DOVER CORPORATION,piping,2.645,1,2018-11-30,0.848,12,2013-07-24,,,,,,,both
ddg,CMANNFGEFNP6,WARD LEONARD CT LLC,electrical,0.0,0,,3.328,1,2022-05-16,,,,,,,HII-Ingalls-only
ddg,NYPLGL4BKTS7,ESI ACQUISITION CORP,unbucketed,0.098,1,2023-08-18,3.228,16,2022-08-16,,,,,,,both
ddg,E3YNKWRANZ18,"AQUA-CHEM, INC.",structural,0.0,0,,3.309,7,2013-07-15,,,,,,,HII-Ingalls-only
ddg,D44RA79E3K57,PRECISION PRODUCTS INC,machining,0.0,0,,3.296,26,2013-06-26,,,,,,,HII-Ingalls-only
ddg,C7QHHMJEALN1,"MONROE CABLE COMPANY, INC., THE",electrical,3.282,1,2022-06-02,0.0,0,2021-06-03,,,,,,,GD-BIW-only
ddg,UNBUG7BAWZL3,DANTE VALVE COMPANY,piping,0.0,0,,3.277,19,2024-09-13,,,,,,,HII-Ingalls-only
ddg,Q5DRWXKQP299,NAVAL ENGINEERING SUPPORT INC.,structural,0.0,0,,3.012,12,2023-08-15,,,,,,,HII-Ingalls-only
ddg,XYNDM1Y7XGG7,AMERICAN METAL BEARING CO,machining,0.0,0,,2.977,5,2025-03-18,,,,,,,HII-Ingalls-only
ddg,ZU51LS7JZ8L5,"FCX SYSTEMS, INC.",electrical,0.0,0,,2.937,4,2021-02-15,,,,,,,HII-Ingalls-only
ddg,SJULQDJ8NZU7,"L3HARRIS TECHNOLOGIES, INC.",electrical,0.929,2,2021-10-28,1.992,16,2019-08-02,,,,,,,both
ddg,J9V9SJL4CW97,CURTISS-WRIGHT FLOW CONTROL CORPORATION,piping,0.0,0,,2.857,8,2023-10-16,,,,,,,HII-Ingalls-only
ddg,K84MXRVQ8BW5,"PACIFIC SHIPYARDS INTERNATIONAL, LLC",structural,2.857,1,2024-12-20,0.0,0,,,,,,,,GD-BIW-only
ddg,PNLJW4UFU1A8,"MARK C. POPE ASSOCIATES, INC.",electrical,0.0,0,,2.852,7,2020-01-10,,,,,,,HII-Ingalls-only
ddg,ZJYJB7MBFE56,CRANE PUMPS & SYSTEMS PFT CORP,piping,0.0,0,,2.84,14,2022-08-11,,,,,,,HII-Ingalls-only
ddg,P2LKC7KAFFR2,"FAIRMOUNT AUTOMATION, INC.",electrical,2.688,2,2023-02-08,0.0,0,,,,,,,,GD-BIW-only
ddg,GZKZJF8DBJJ2,"LISTER CHAIN AND FORGE, INC.",castings,0.0,0,,2.52,4,2013-07-31,,,,,,,HII-Ingalls-only
ddg,F3XKPA82MHQ5,"NAG, LLC",unbucketed,0.043,1,2022-04-28,2.403,7,2014-10-17,,,,,,,both
ddg,C1B6X8AADFB1,"COMSACO, INC.",electrical,0.049,1,2021-12-10,2.201,5,2015-11-03,,,,,,,both
ddg,FLU4K8MGMZX7,"HITACHI, LTD.",unbucketed,0.0,0,,2.203,6,2013-07-12,,,,,,,HII-Ingalls-only
ddg,K48HS3521BC4,EVAC NORTH AMERICA INC,piping,0.0,0,,2.119,2,2024-04-09,,,,,,,HII-Ingalls-only
ddg,G7SQBKZNPRN4,"ACCU-FAB AND CONSTRUCTION, INC.",structural,0.0,0,,2.09,5,2021-01-08,,,,,,,HII-Ingalls-only
ddg,N9UNRN3F79J1,"LESLIE CONTROLS, INC.",piping,0.0,0,,2.063,9,2023-06-14,,,,,,,HII-Ingalls-only
ddg,JEP5GQGFPUL9,PORTLAND VALVE LLC,piping,0.0,0,,2.006,6,2023-08-04,,,,,,,HII-Ingalls-only
ddg,ZTPLJJTAD2F4,HOWDEN AMERICAN FAN COMPANY,hvac,2.0,17,2023-07-25,0.0,0,2026-03-06,,,,,,,GD-BIW-only
ddg,S3GFGJ1QGAE6,"M.S.M. INDUSTRIES, INC.",coatings,0.982,3,2022-09-27,0.982,8,2013-09-18,,,,,,,both
ddg,QATEDMDR46E4,FORTIVE CORPORATION,unbucketed,0.0,0,,1.905,8,2014-01-08,,,,,,,HII-Ingalls-only
ddg,YY4YKPLKUJ55,VELAN VALVE CORP.,piping,0.0,0,,1.85,12,2022-07-14,,,,,,,HII-Ingalls-only
ddg,PU6TDFGSJQA3,DYNALEC CORPORATION,electrical,0.0,0,,1.845,16,2023-09-27,,,,,,,HII-Ingalls-only
ddg,JA2KCX21NL48,"DEFENSE MARITIME SOLUTIONS, INC.",machining,0.0,0,,1.764,14,2023-02-27,,,,,,,HII-Ingalls-only
ddg,JRHJJRY6DWK3,"CORNELL-CARR CO., INC.",structural,0.0,0,,1.762,7,2013-04-18,,,,,,,HII-Ingalls-only
ddg,M4ANYAZ8Q6H8,"SETRA SYSTEMS, INC.",unbucketed,0.0,0,,1.64,8,2024-08-16,,,,,,,HII-Ingalls-only
ddg,UK6NAHCH8459,"CAROLINA POWER SYSTEMS OF SUMTER, INC.",electrical,0.0,0,,1.608,4,2013-07-15,,,,,,,HII-Ingalls-only
ddg,PLYSMJBAYE42,MEGGITT SAFETY SYSTEMS INC,unbucketed,0.102,3,2024-05-17,1.499,3,2023-12-21,,,,,,,both
ddg,YMKJUADMJN79,TRI-TEC MANUFACTURING LLC,piping,1.459,5,2022-08-31,0.096,2,2023-05-08,,,,,,,both
ddg,RMLGMBGNPCC8,"KINGSBURY, INC.",machining,0.033,1,2025-01-09,1.508,4,2013-06-28,,,,,,,both
ddg,FLQJXSFMNQP6,LISTER CHAIN & FORGE INC,castings,0.0,0,,1.441,2,2024-12-09,,,,,,,HII-Ingalls-only
ddg,SFBKRA9THBA3,ESCO TECHNOLOGIES INC.,coatings,0.0,0,,1.351,6,2019-09-05,,,,,,,HII-Ingalls-only
ddg,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,piping,0.0,0,2016-08-25,1.322,1,2013-07-31,,,,,,,HII-Ingalls-only
ddg,D5NGX38L5EC9,EVAC NORTH AMERICA INC.,piping,0.06,1,2022-07-28,1.237,5,2021-02-22,,,,,,,both
ddg,T5CFQAL52L76,KATO ENGINEERING INC.,electrical,1.293,6,2024-02-12,0.0,0,,,,,,,,GD-BIW-only
ddg,QVTKQ7LJE196,M.T. DAVIDSON COMPANY,piping,0.0,0,,1.271,7,2023-06-09,,,,,,,HII-Ingalls-only
ddg,MMDRDDVELDX8,DANTE VALVE COMPANY INC,piping,0.081,2,2023-07-04,1.185,15,2013-07-26,,,,,,,both
ddg,QEP4TKLKQDV3,"U.S. PIONEER, L.L.C.",unbucketed,0.046,1,2022-10-06,1.219,15,2013-08-16,,,,,,,both
ddg,RJGEKQDTZKT8,ELECTRIC HEATER CO,hvac,0.0,0,,1.251,4,2024-07-30,,,,,,,HII-Ingalls-only
ddg,L232ZUA5KLW3,HOWDEN AMERICAN FAN COMPANY,hvac,1.25,1,2022-10-28,0.0,0,,,,,,,,GD-BIW-only
ddg,C2WJWFHRK5S7,QUALITY PERFORMANCE INC,unbucketed,0.608,4,2022-08-09,0.599,4,2022-08-08,,,,,,,both
ddg,JSAXGRLNEJ63,COLONNA'S SHIP YARD INCORPORATED,structural,1.185,1,2023-06-26,0.0,0,,,,,,,,GD-BIW-only
ddg,PG7AZJQMRL27,"ASCO POWER TECHNOLOGIES, L.P.",electrical,0.476,3,2023-07-10,0.698,2,2023-08-10,,,,,,,both
ddg,UK8DL82MHJG5,PROPULSION CONTROLS ENGINEERING,structural,1.164,8,2021-01-08,0.0,0,2017-05-09,,,,,,,GD-BIW-only
ddg,LG8PRS9MR697,SFC VALVE CORPORATION,piping,0.102,1,2022-10-31,1.049,8,2024-08-06,,,,,,,both
ddg,PNE9R5EJMWK8,L-3 COMMUNICATIONS WESTWOOD CORPORATION,electrical,0.398,6,2023-07-11,0.744,4,2023-08-10,,,,,,,both
ddg,FUNJJEK23XN5,"TCH DISTRIBUTORS, LLC",unbucketed,0.0,0,,1.11,18,2022-07-12,,,,,,,HII-Ingalls-only
ddg,VE65QFAKCLG7,ROLLS-ROYCE HOLDINGS PLC,machining,1.107,13,2017-04-24,0.0,0,2013-06-05,,,,,,,GD-BIW-only
ddg,DTCND1MN7J15,ASPEQ HEATING GROUP LLC,hvac,0.0,0,,1.064,3,2013-07-15,,,,,,,HII-Ingalls-only
ddg,FLMQAKFEMG64,INDEECO LLC,hvac,0.0,0,,1.045,4,2023-08-30,,,,,,,HII-Ingalls-only
ddg,RLXQHCXFT513,CUNICO CORPORATION,piping,0.0,0,,0.997,5,2022-08-19,,,,,,,HII-Ingalls-only
ddg,D9T3VK42BLV7,"MILWAUKEE COMPOSITES, INC.",unbucketed,0.0,0,,0.968,5,2023-06-27,,,,,,,HII-Ingalls-only
ddg,P4XPJNTCHB68,SCHOELLHORN - ALBRECHT MACHINE CO INC,castings,0.0,0,,0.961,11,2016-08-11,,,,,,,HII-Ingalls-only
ddg,JEKASJ7K4PJ1,BAUER COMPRESSORS INC,piping,0.0,0,,0.925,3,2024-05-15,,,,,,,HII-Ingalls-only
ddg,FFZLXPAQCMD8,WHITING DOOR MANUFACTURING CORP.,structural,0.067,1,2022-11-23,0.839,7,2016-06-13,,,,,,,both
ddg,EYXEF9DML9L7,LIDGERWOOD MANUFACTURING COMPANY (INC),piping,0.417,2,2022-11-01,0.467,3,2013-06-25,,,,,,,both
ddg,KH1WNH8NJR56,VELAN VALVE CORP.,piping,0.0,0,,0.849,5,2024-06-21,,,,,,,HII-Ingalls-only
ddg,C1NAJQ34VWM5,CAMERON ENERGY SERVICES CORP.,unbucketed,0.0,0,,0.82,5,2023-02-18,,,,,,,HII-Ingalls-only
ddg,C7QXDAE2EUN1,"GENERAL MARINE PRODUCTS, INC.",structural,0.751,4,2022-07-29,0.063,1,2023-08-24,,,,,,,both
ddg,MX63C2VRKCJ6,HOUDSTERMAATSCHAPPIJ WILG B.V.,piping,0.0,0,,0.772,6,2019-05-14,,,,,,,HII-Ingalls-only
ddg,VDGQNU1VJC64,XCHANGER MANUFACTURING CORPORATION,structural,0.0,0,,0.765,3,2013-07-31,,,,,,,HII-Ingalls-only
ddg,JCAZB4Y7FTW2,WHITING DOOR EXPORT CORP.,structural,0.0,0,,0.756,4,2023-10-30,,,,,,,HII-Ingalls-only
ddg,SZ4SDE9YK5E4,ONEX CORP,unbucketed,0.37,1,2025-05-27,0.37,1,2025-08-20,,,,,,,both
ddg,V32LJNFLKBT7,RFD BEAUFORT INC.,unbucketed,0.37,1,2023-12-22,0.37,1,2023-12-22,,,,,,,both
ddg,KB45YQR3KSL5,"MISSISSIPPI SECURITY POLICE, INC.",unbucketed,0.0,0,,0.73,2,2018-12-12,,,,,,,HII-Ingalls-only
ddg,NJBMT6E7P7B4,INTERNATIONAL WELDING & FABRICATION INC.,structural,0.0,0,,0.714,1,2023-02-07,,,,,,,HII-Ingalls-only
ddg,N1UBBGCNNB38,ABC APPLICATORS INC,unbucketed,0.0,0,,0.711,3,2023-10-06,,,,,,,HII-Ingalls-only
ddg,FWF8QBPCGLG3,GENERAL TOOL COMPANY,machining,0.454,5,2024-08-30,0.234,2,2017-11-01,,,,,,,both
ddg,PW9GWUTL4KV5,"US, INC.",structural,0.0,0,,0.679,11,2016-08-24,,,,,,,HII-Ingalls-only
ddg,JGNYLKEPEBL4,"PEMCO-NAVAL ENGINEERING WORKS, INC.",structural,0.085,1,2021-10-15,0.548,10,2013-07-26,,,,,,,both
ddg,DH7CZ5SHWTN7,"CRITICAL COMMUNICATIONS, CONTROLS AND INSTRUMENTS, LLC",unbucketed,0.619,8,2021-10-04,0.0,0,,,,,,,,GD-BIW-only
ddg,X9C7KVWCMQJ6,"VALKYRIE ENTERPRISES, INC.",unbucketed,0.087,2,2024-02-14,0.526,3,2019-08-22,,,,,,,both
ddg,WWMME88ERQG5,"BESTWELD, INC.",piping,0.0,0,,0.546,7,2013-11-14,,,,,,,HII-Ingalls-only
ddg,MKGCWL2DHBT4,MARINE TECH WIRE & CABLE INC,electrical,0.137,1,2022-09-26,0.374,1,2024-09-23,,,,,,,both
ddg,PPLZG8J3N9D4,RAYTHEON TECHNOLOGIES CORPORATION,coatings,0.0,0,,0.489,12,2013-05-23,,,,,,,HII-Ingalls-only
ddg,GQ6ADGRCXZ54,"MIDDLEBY CORPORATION, THE",piping,0.481,4,2022-07-18,0.0,0,,,,,,,,GD-BIW-only
ddg,C4C1WKKFJ8H5,ENERGY RENTAL SOLUTIONS LLC,unbucketed,0.0,0,,0.466,6,2024-08-14,,,,,,,HII-Ingalls-only
ddg,X99SLLWX4NV1,"SUMMA HOLDINGS, INC.",structural,0.0,0,,0.463,7,2013-04-23,,,,,,,HII-Ingalls-only
ddg,DQLZFV6PFCB9,"TATE ANDALE, LLC",piping,0.0,0,,0.456,6,2013-09-20,,,,,,,HII-Ingalls-only
ddg,U6F2GHCNNH47,HEXCEL CORPORATION,unbucketed,0.315,2,2021-12-20,0.139,1,2019-02-13,,,,,,,both
ddg,EGAVSJTA2D81,RAYTHEON COMPANY,coatings,0.364,1,2023-07-26,0.085,2,2024-08-21,,,,,,,both
ddg,JW6PXX1WALN4,HOWDEN NORTH AMERICA INC,hvac,0.0,0,,0.449,5,2023-08-07,,,,,,,HII-Ingalls-only
ddg,GCDKJTM3RJX6,"RAPID DEPLOYABLE SYSTEMS, INC",structural,0.444,2,2022-12-22,0.0,0,,,,,,,,GD-BIW-only
ddg,GKN9NW23L2L9,"HYSPAN PRECISION PRODUCTS, INC.",piping,0.0,0,,0.444,7,2013-04-25,,,,,,,HII-Ingalls-only
ddg,LN9YKAX66918,"KULITE SEMICONDUCTOR PRODUCTS, INC",unbucketed,0.185,2,2022-03-11,0.255,5,2016-05-16,,,,,,,both
ddg,YN8EW4XM28Z1,"WASHINGTON CHAIN & SUPPLY, INC.",castings,0.0,0,,0.428,1,2023-10-24,,,,,,,HII-Ingalls-only
ddg,G4PWHUXGV5K5,"EPSILON SYSTEMS SOLUTIONS, INC.",structural,0.0,0,,0.416,7,2024-11-27,,,,,,,HII-Ingalls-only
ddg,JYTYZUGUN6V3,"TRI-TEC MANUFACTURING, LLC",piping,0.0,0,,0.413,1,2013-12-17,,,,,,,HII-Ingalls-only
ddg,XTB5UHKL6VE8,"SEA-TECH PRODUCTS, INC.",structural,0.0,0,,0.399,4,2023-10-17,,,,,,,HII-Ingalls-only
ddg,J2DMF1YRKD96,STANDARD CALIBRATIONS INC,unbucketed,0.0,0,,0.398,7,2023-03-09,,,,,,,HII-Ingalls-only
ddg,YULJLSW1N2G4,CYGNUS L.L.C.,unbucketed,0.39,1,2022-06-13,0.0,0,,,,,,,,GD-BIW-only
ddg,DV6YQV71ME11,MAR-VAC PRODUCTS INC,unbucketed,0.0,0,,0.383,3,2014-06-06,,,,,,,HII-Ingalls-only
ddg,G9N1X873CYJ6,THE TIMKEN COMPANY,piping,0.0,0,,0.373,2,2024-10-02,,,,,,,HII-Ingalls-only
ddg,TMDVSPNEFR69,"IVES EQUIPMENT, LLC",unbucketed,0.0,0,,0.36,3,2023-07-03,,,,,,,HII-Ingalls-only
ddg,JK4WJKLD44G9,"METALTEK INTERNATIONAL, INC.",castings,0.0,0,,0.354,4,2013-07-24,,,,,,,HII-Ingalls-only
ddg,N9DVRB18H324,ELLWOOD CITY FORGE COMPANY,castings,0.0,0,,0.35,1,2022-09-22,,,,,,,HII-Ingalls-only
ddg,VWX3JEES4FF7,TRIMAN INDUSTRIES INC,unbucketed,0.343,1,2025-05-07,0.0,0,,,,,,,,GD-BIW-only
ddg,XK8VBJ94L4E9,"AEROSPACE SUPPLY, INC",piping,0.0,0,,0.339,4,2019-06-20,,,,,,,HII-Ingalls-only
ddg,YBVGQEYENNM6,HONEYWELL INTERNATIONAL INC.,unbucketed,0.0,0,,0.328,3,2022-07-07,,,,,,,HII-Ingalls-only
ddg,HUK5MJK4MH39,"LESLIE CONTROLS, INC.",piping,0.0,0,,0.324,5,2023-03-30,,,,,,,HII-Ingalls-only
ddg,EREJZHBM5MU1,SPIRAX-SARCO ENGINEERING PLC,hvac,0.0,0,,0.322,2,2019-03-18,,,,,,,HII-Ingalls-only
ddg,MENSE2ENG8J6,ARCLINE INVESTMENT MANAGEMENT LP,piping,0.0,0,,0.317,3,2021-12-07,,,,,,,HII-Ingalls-only
ddg,E3NCN9MXJAL5,TURNBULL LLC,piping,0.311,4,2022-02-25,0.0,0,,,,,,,,GD-BIW-only
ddg,DD7KGPMP93C1,HEH HOLDINGS LLC,hvac,0.0,0,,0.304,1,2013-07-22,,,,,,,HII-Ingalls-only
ddg,ED16VKVTCHC8,ECI DEFENSE GROUP INC,unbucketed,0.0,0,,0.3,1,2023-04-26,,,,,,,HII-Ingalls-only
ddg,U4MMR7DR2DR7,"JAL ENTERPRISES, INC.",structural,0.109,1,2023-06-12,0.189,4,2013-10-01,,,,,,,both
ddg,HNJDANSKDZK9,"SPECTRONICS, INC.",unbucketed,0.0,0,,0.282,9,2015-12-14,,,,,,,HII-Ingalls-only
ddg,RM4TFABVLPX4,EVEREST KANTO CYLINDER LIMITED,structural,0.0,0,,0.282,3,2024-04-11,,,,,,,HII-Ingalls-only
ddg,XNR9ZJ9VKZG5,"TEMEKU TECHNOLOGIES, INC.",unbucketed,0.277,1,2022-11-01,0.0,0,,,,,,,,GD-BIW-only
ddg,C18KXNHETC95,"KITCO FIBER OPTICS, INC.",unbucketed,0.0,0,,0.276,1,2021-11-18,,,,,,,HII-Ingalls-only
ddg,W547TUQXJ8Y4,CARVER PUMP COMPANY,piping,0.0,0,,0.272,7,2017-06-30,,,,,,,HII-Ingalls-only
ddg,RU42J22YFWW5,"STS OPERATING, INC.",piping,0.0,0,,0.267,4,2014-10-17,,,,,,,HII-Ingalls-only
ddg,HLFDNJU7KXJ1,BOGUE SYSTEMS INC.,electrical,0.0,0,,0.258,1,2013-07-08,,,,,,,HII-Ingalls-only
ddg,FYS6F3284LN3,VELAN VALVE CORP.,piping,0.0,0,,0.254,3,2023-12-21,,,,,,,HII-Ingalls-only
ddg,VE86LWM6ABF6,MASON FOREST PRODUCTS INC,unbucketed,0.0,0,,0.248,2,2023-06-29,,,,,,,HII-Ingalls-only
ddg,WAK3LFCLKJR4,BELL STEEL COMPANY,structural,0.0,0,,0.245,3,2015-06-08,,,,,,,HII-Ingalls-only
ddg,CLJ5AQLQ8L29,"MACKAY COMMUNICATIONS, INC",unbucketed,0.244,1,2021-11-16,0.0,0,,,,,,,,GD-BIW-only
